être,be
avoir,have
je,I
de,of
ne,not
pas,not
le,the
la,There
tu,you
vous,you
il,it
et,and
un,a
à,to
l',the
aller,go
les,the
en,in
ça,it
faire,do
on,we
une,a
ce,this
d',to
pour,for
des,of
dire,say
tout,all
pouvoir,power
qui,which
vouloir,want
mais,but
me,me
nous,we
dans,in
savoir,know
elle,it
du,of
y,there
bien,Okay
t',t '
voir,see
que,that
plus,more
non,I do not
te,you
mon,my
au,the
avec,along with
moi,I
si,if
devoir,have to
oui,Yes I am
ils,they
comme,such as
se,himself
venir,come over
sur,on
toi,you
quoi,what
ici,here
rien,nothing
ma,my
lui,it
bon,good
où,where
là,There
suivre,follow up
pourquoi,what for
parler,talk
prendre,take up
cette,this
votre,your
quand,when
son,its
alors,then
ton,tone
chose,thing
par,by
croire,believe
aimer,love it
falloir,have to
comment,how
très,very
ou,or
passer,go
penser,think
aussi,also
jamais,never
même,same
attendre,hang on
petit,small
trouver,get it
laisser,leave
merci,thank you
sa,its
autre,other
ta,your
arriver,arrive
ces,these
donner,give
regarder,watch
encore,yet
appeler,call
est-ce que,do
peu,little
homme,man
partir,get away
mes,my
toujours,always
jour,day
femme,woman
temps,time
maintenant,right now
notre,our
vie,life
deux,two
mettre,put
rester,stay
sans,without
seul,only
arrêter,stop
vraiment,really
connaître,know
quelque,some
sûr,safe
juste,just
tuer,kill
mourir,die
demander,request
peut-être,perhaps
dieu,god
fois,time
oh,oh
père,father
comprendre,figure out
sortir,go out
personne,no one
an,year
trop,too much
vrai,true
chez,in
fille,girl
aux,the
monde,world
ami,friend
mal,evil
après,after
avant,before
besoin,need
accord,agreement
ses,its
beau,good looking
monsieur,Mr.
grand,great
enfant,child
entendre,hear
voilà,here
chercher,look for
heure,time
mieux,better
déjà,already
tes,your
aider,help
mère,mother
essayer,try
quel,what
vos,your
depuis,since then
quelqu'un,someone
beaucoup,so much
revenir,return
donc,therefore
plaire,please
maison,home
gens,people
nuit,night
ah,ha
soir,evening
nom,name
bonjour,Hello there
jouer,play
finir,end up
peur,fear
mort,dead
parce que,because
perdre,lose
maman,mom
sentir,feel
ouais,yeah
rentrer,return
nos,our
argent,money
vivre,live
premier,first
problème,problem
quelle,what
rendre,render
dernier,last
tenir,hold
cet,this
main,hand
cela,it
vite,quickly
moins,less
oublier,forget
salut,salvation
fils,son
travailler,work
demain,tomorrow
tête,head
manger,eat
écouter,listen to
raison,reason
amour,love
entrer,enter
fait,fact
devenir,become
nouveau,new
hein,huh
commencer,begin
merde,shit
moment,time
voiture,car
vieux,old
revoir,revise
elles,they
payer,pay off
fou,crazy
tirer,Pull
ouvrir,open
oeil,eye
changer,change
question,issue
tomber,fall out
assez,enough
foutre,fuck
excuser,excuse
affaire,case
dormir,sleep
combien,how much
frère,brother
travail,work
idée,idea
eh,eh
puis,then
famille,family
tard,late
truc,thing
trois,three
tant,as
souvenir,memory
ni,or
tous,all
occuper,occupy
entre,between
ok,ok
marcher,walk
chance,chance
envoyer,send
aujourd'hui,present day
histoire,history
prêt,loan
jeune,young
apprendre,learn
boire,drink
garder,keep
quelques,a few
type,type
porte,Gate
montrer,show
mec,guy
porter,wear
asseoir,seat
contre,against
pendant,for
attention,watch out
droit,right
année,year
sous,under
prier,pray
meilleur,best
mois,month
lire,read
servir,pour it up
plein,full
madame,Mrs.
putain,whore
écrire,write off
part,share
eau,water
sang,blood
place,spot
espérer,hope
gros,big
désoler,distress
eux,them
retrouver,find
ville,city
terre,land
gagner,win
semaine,week
acheter,buy
longtemps,long time
gars,guy
chambre,room
hé,hey
côté,side
ensemble,together
leur,their
rappeler,call back
fort,strong
cas,case
mot,word
seulement,only
toucher,touch
voici,here you go
monter,get on
désolé,sorry
quitter,leave
police,police
suite,suite
matin,morning
emmener,drive
devant,in front
continuer,carry on
cher,expensive
enfin,at last
pardon,forgiveness
mari,husband
mauvais,bad
là-bas,over there
importer,import
papa,dad
vers,to
heureux,happy
feu,fire
train,train
manquer,miss
raconter,tell
film,film
répondre,answer
garçon,boy
chéri,darling
leurs,their
corps,body
celui,that
autres,other
loin,far away
aucun,no
sauver,save
pauvre,poor
chaque,each
retourner,go back
fin,end
rencontrer,meet
coeur,heart
voler,fly
fermer,close up
valoir,be worth
descendre,come down
docteur,doctor
important,important
suffire,suffice
façon,way
sembler,seem
dehors,outside
super,great
compter,count
aucune,no
joli,nice one
tiens,like
noir,black
hier,yesterday
chien,dog
dont,whose
guerre,war
genre,kind
marier,marry
arme,weapon
cause,cause
endroit,place
possible,possible
ordre,order
poser,lay down
reste,rest
pied,foot
envie,envy
près,close
inquiéter,worry
d'autres,other
bouger,move
boulot,job
plutôt,rather
apporter,bring
dur,hard
photo,photo
décider,decide
ainsi,thus
vendre,sale
école,school
chef,chief
cacher,hide
tourner,turn
gentil,nice
pays,country
ceux,those
expliquer,explain
battre,beat
peine,penalty
malade,sick
parent,relative
livre,book
agir,act
jeter,throw away
imaginer,imagine
tour,tour
adorer,worship
vérité,truth
instant,moment
recevoir,receive
bébé,baby
pleurer,cry
partie,part
nouvelle,news
prochain,next
jeu,game
amener,bring
coucher,sunset
derrière,behind
service,service
haut,top
plaisir,pleasure
long,time consuming
content,content
con,cunt
promettre,promise
mentir,lie
soeur,sister
bientôt,soon
lit,bed
tellement,so
bas,low
utiliser,use
lieu,place
presque,almost
passé,past
préférer,prefer
rire,laugh
café,coffee
roi,king
offrir,offer
verre,glass
réveiller,wake
aide,aid
d'abord,at first
journée,day
préparer,prepare
numéro,number
propre,own
permettre,allow
ramener,bring back
enlever,remove
lâcher,let go
calme,calm
lever,lift
choisir,choose
musique,music
conduire,lead
faute,fault
calmer,calm
dîner,dinner
mariage,marriage
bureau,office
route,road
chanter,sing
secret,secret
disparaître,disappear
général,general
